CCAA;AÑO;SECTOR ;SEXO;Tasa de paro;%_inactivos;TASA_DE_ACTIVIDAD;%_ocup;%act_educ
            04 Balears, Illes;2016;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;10.94;3.7;80.10;0.7;17.8
            05 Canarias;2016;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;16.22;3.5;78.86;1.5;20.9
            06 Cantabria;2016;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;9.17;0.3;77.49;0.6;38.1
            07 Castilla y León;2016;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;9.61;1.1;80.22;0.5;36.7
            08 Castilla - La Mancha;2016;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;11.43;5.4;89.01;1.0;32.1
            09 Cataluña;2016;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;8.90;2.2;82.13;0.2;24.9
            10 Comunitat Valenciana;2016;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;18.89;1.2;81.97;0.3;28.0
            11 Extremadura;2016;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;16.79;6.9;86.89;0.8;27.6
            12 Galicia;2016;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;13.74;2.0;80.66;0.6;31.0
            13 Madrid, Comunidad de;2016;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;10.36;1.5;80.94;0.4;21.4
            14 Murcia, Región de;2016;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;11.75;4.0;81.54;1.6;25.2
            15 Navarra, Comunidad Foral de;2016;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;11.64;1.6;79.23;0.1;42.4
            16 País Vasco;2016;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;9.78;1.3;73.23;0.5;42.9
            17 Rioja, La;2016;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;8.10;0.4;81.58;1.2;34.9
            18 Ceuta;2016;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;19.05;3.7;93.10;0.0;12.1
            19 Melilla;2016;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;26.47;11.0;83.08;2.6;18.9
            01 Andalucía;2016;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;30.91;5.4;77.28;0.7;1.7
            02 Aragón;2016;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;11.00;1.4;75.46;0.3;4.7
            03 Asturias, Principado de;2016;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;6.70;1.0;69.57;0.2;1.9
            04 Balears, Illes;2016;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;17.60;4.7;87.09;0.9;0.8
            05 Canarias;2016;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;22.70;4.5;95.81;3.2;1.5
            06 Cantabria;2016;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;0.00;0.7;87.94;0.5;2.7
            07 Castilla y León;2016;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;5.81;1.9;77.24;0.3;2.7
            08 Castilla - La Mancha;2016;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;18.98;3.6;88.29;0.7;2.7
            09 Cataluña;2016;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;7.59;2.2;92.79;0.8;1.7
            10 Comunitat Valenciana;2016;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;8.07;2.1;91.22;0.3;1.6
            11 Extremadura;2016;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;9.34;7.3;85.52;0.3;4.5
            12 Galicia;2016;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;7.31;1.6;72.40;0.3;3.1
            13 Madrid, Comunidad de;2016;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;53.17;3.4;80.24;0.6;0.4
            14 Murcia, Región de;2016;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;18.04;3.9;93.68;1.1;4.0
            15 Navarra, Comunidad Foral de;2016;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;0.00;1.5;79.66;0.9;2.1
            16 País Vasco;2016;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;0.00;0.8;78.71;1.1;1.1
            17 Rioja, La;2016;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;0.00;1.9;89.76;1.5;0.8
            18 Ceuta;2016;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;0.00;5.1;100.00;0.0;..
            19 Melilla;2016;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;..;13.5;..;0.0;0.0
            01 Andalucía;2016;Salud y servicios sociales;Hombres;8.77;7.1;83.14;0.8;7.1
            02 Aragón;2016;Salud y servicios sociales;Hombres;10.56;2.1;80.14;0.7;3.4
            03 Asturias, Principado de;2016;Salud y servicios sociales;Hombres;3.55;1.4;77.92;0.3;5.6
            04 Balears, Illes;2016;Salud y servicios sociales;Hombres;6.21;2.3;82.34;0.9;4.9
            05 Canarias;2016;Salud y servicios sociales;Hombres;10.00;4.3;85.01;2.1;3.7
            06 Cantabria;2016;Salud y servicios sociales;Hombres;7.92;1.3;85.84;0.6;4.6
            07 Castilla y León;2016;Salud y servicios sociales;Hombres;7.68;1.9;79.49;0.5;4.5
            08 Castilla - La Mancha;2016;Salud y servicios sociales;Hombres;6.76;5.1;86.97;2.0;6.3
            09 Cataluña;2016;Salud y servicios sociales;Hombres;11.28;2.6;88.82;0.6;5.3
            10 Comunitat Valenciana;2016;Salud y servicios sociales;Hombres;7.37;2.8;84.21;0.1;5.5
            11 Extremadura;2016;Salud y servicios sociales;Hombres;18.11;7.9;77.69;0.2;5.9
            12 Galicia;2016;Salud y servicios sociales;Hombres;7.80;1.7;78.49;0.0;4.5
            13 Madrid, Comunidad de;2016;Salud y servicios sociales;Hombres;10.74;1.3;84.96;1.2;4.8
            14 Murcia, Región de;2016;Salud y servicios sociales;Hombres;0.00;4.2;82.01;1.1;7.4
            15 Navarra, Comunidad Foral de;2016;Salud y servicios sociales;Hombres;0.00;2.4;80.98;0.5;3.2
            16 País Vasco;2016;Salud y servicios sociales;Hombres;5.92;1.1;70.30;0.4;4.5
            17 Rioja, La;2016;Salud y servicios sociales;Hombres;6.27;3.9;91.00;0.2;5.3
            18 Ceuta;2016;Salud y servicios sociales;Hombres;16.58;4.1;100.00;0.0;4.3
            19 Melilla;2016;Salud y servicios sociales;Hombres;0.00;10.3;49.61;2.7;8.6
            01 Andalucía;2016;Servicios;Hombres;15.81;6.1;62.69;1.4;4.7
            02 Aragón;2016;Servicios;Hombres;2.87;0.9;84.53;0.7;4.6
            03 Asturias, Principado de;2016;Servicios;Hombres;19.87;1.0;65.98;0.3;5.9
            04 Balears, Illes;2016;Servicios;Hombres;17.00;3.2;68.31;2.1;10.7
            05 Canarias;2016;Servicios;Hombres;10.82;6.1;84.13;2.0;8.4
            06 Cantabria;2016;Servicios;Hombres;8.73;0.7;77.94;0.3;3.9
            07 Castilla y León;2016;Servicios;Hombres;11.49;2.0;73.25;0.2;4.7
            08 Castilla - La Mancha;2016;Servicios;Hombres;15.19;5.4;65.75;0.4;2.6
            09 Cataluña;2016;Servicios;Hombres;17.58;3.5;87.10;1.1;4.5
            10 Comunitat Valenciana;2016;Servicios;Hombres;12.80;1.4;79.87;0.2;5.3
            11 Extremadura;2016;Servicios;Hombres;15.57;6.2;71.91;0.3;4.2
            12 Galicia;2016;Servicios;Hombres;8.66;1.8;81.42;0.5;4.4
            13 Madrid, Comunidad de;2016;Servicios;Hombres;7.32;2.1;81.89;0.6;2.8
            14 Murcia, Región de;2016;Servicios;Hombres;11.06;4.2;79.48;0.7;6.8
            15 Navarra, Comunidad Foral de;2016;Servicios;Hombres;6.66;3.0;96.67;0.1;2.4
            16 País Vasco;2016;Servicios;Hombres;0.00;1.5;54.78;0.8;2.7
            17 Rioja, La;2016;Servicios;Hombres;26.22;2.6;100.00;0.2;2.0
            18 Ceuta;2016;Servicios;Hombres;40.84;7.5;100.00;1.4;8.6
            19 Melilla;2016;Servicios;Hombres;12.54;2.5;81.84;3.0;4.8
            01 Andalucía;2016;Sectores desconocidos o no especificados;Hombres;26.05;8.0;22.65;1.3;0.7
            02 Aragón;2016;Sectores desconocidos o no especificados;Hombres;100.00;3.0;1.83;0.0;0.2
            03 Asturias, Principado de;2016;Sectores desconocidos o no especificados;Hombres;54.01;0.7;37.78;0.2;0.3
            04 Balears, Illes;2016;Sectores desconocidos o no especificados;Hombres;6.53;2.5;68.19;2.6;1.2
            05 Canarias;2016;Sectores desconocidos o no especificados;Hombres;13.99;7.0;28.54;1.6;3.3
            06 Cantabria;2016;Sectores desconocidos o no especificados;Hombres;0.00;1.8;14.66;0.2;0.7
            07 Castilla y León;2016;Sectores desconocidos o no especificados;Hombres;36.62;1.7;49.19;0.8;0.3
            08 Castilla - La Mancha;2016;Sectores desconocidos o no especificados;Hombres;38.03;4.5;19.12;0.4;0.8
            09 Cataluña;2016;Sectores desconocidos o no especificados;Hombres;17.77;2.8;58.37;1.8;0.4
            10 Comunitat Valenciana;2016;Sectores desconocidos o no especificados;Hombres;53.33;4.1;9.59;0.1;0.4
            11 Extremadura;2016;Sectores desconocidos o no especificados;Hombres;100.00;5.7;6.68;0.0;1.4
            12 Galicia;2016;Sectores desconocidos o no especificados;Hombres;37.78;2.0;13.65;0.2;0.5
            13 Madrid, Comunidad de;2016;Sectores desconocidos o no especificados;Hombres;0.00;1.8;29.47;0.4;0.5
            14 Murcia, Región de;2016;Sectores desconocidos o no especificados;Hombres;11.91;3.5;51.15;1.9;0.0
            15 Navarra, Comunidad Foral de;2016;Sectores desconocidos o no especificados;Hombres;0.00;3.8;32.26;1.2;0.6
            16 País Vasco;2016;Sectores desconocidos o no especificados;Hombres;0.00;1.4;42.31;0.7;1.0
            17 Rioja, La;2016;Sectores desconocidos o no especificados;Hombres;30.75;1.5;43.22;0.4;2.5
            18 Ceuta;2016;Sectores desconocidos o no especificados;Hombres;100.00;3.9;25.57;0.0;..
            19 Melilla;2016;Sectores desconocidos o no especificados;Hombres;100.00;5.8;24.05;0.0;..
            01 Andalucía;2022;Formación general, formación básica de adultos y habilidades personales;Mujeres;32.81;73.2;37.11;36.6;19.3
            02 Aragón;2022;Formación general, formación básica de adultos y habilidades personales;Mujeres;17.17;76.8;34.98;33.1;18.9
            03 Asturias, Principado de;2022;Formación general, formación básica de adultos y habilidades personales;Mujeres;14.39;75.2;25.79;31.2;16.8
            04 Balears, Illes;2022;Formación general, formación básica de adultos y habilidades personales;Mujeres;22.39;74.4;44.99;36.6;26.3
            05 Canarias;2022;Formación general, formación básica de adultos y habilidades personales;Mujeres;23.34;72.7;42.38;40.4;23.1
            06 Cantabria;2022;Formación general, formación básica de adultos y habilidades personales;Mujeres;18.51;74.0;31.72;30.9;20.1
            07 Castilla y León;2022;Formación general, formación básica de adultos y habilidades personales;Mujeres;15.62;75.1;32.46;32.7;18.1
            08 Castilla - La Mancha;2022;Formación general, formación básica de adultos y habilidades personales;Mujeres;24.83;77.9;38.38;40.6;19.1
            09 Cataluña;2022;Formación general, formación básica de adultos y habilidades personales;Mujeres;17.23;74.7;40.56;36.2;18.2
            10 Comunitat Valenciana;2022;Formación general, formación básica de adultos y habilidades personales;Mujeres;21.25;72.6;39.22;37.1;18.2
            11 Extremadura;2022;Formación general, formación básica de adultos y habilidades personales;Mujeres;28.08;77.1;33.39;37.2;17.6
            12 Galicia;2022;Formación general, formación básica de adultos y habilidades personales;Mujeres;16.99;79.1;29.93;33.2;17.8
            13 Madrid, Comunidad de;2022;Formación general, formación básica de adultos y habilidades personales;Mujeres;15.26;73.7;42.39;36.3;24.1
            14 Murcia, Región de;2022;Formación general, formación básica de adultos y habilidades personales;Mujeres;21.22;75.3;37.40;39.1;19.0
            15 Navarra, Comunidad Foral de;2022;Formación general, formación básica de adultos y habilidades personales;Mujeres;15.53;73.2;30.65;25.1;15.2
            16 País Vasco;2022;Formación general, formación básica de adultos y habilidades personales;Mujeres;16.57;69.4;30.10;24.2;14.5
            17 Rioja, La;2022;Formación general, formación básica de adultos y habilidades personales;Mujeres;13.59;76.0;37.60;35.5;21.8
            18 Ceuta;2022;Formación general, formación básica de adultos y habilidades personales;Mujeres;49.39;65.6;49.22;44.5;12.3
            19 Melilla;2022;Formación general, formación básica de adultos y habilidades personales;Mujeres;50.05;68.6;47.93;29.4;17.8
            01 Andalucía;2022;Educación;Mujeres;16.02;71.5;72.53;40.8;12.3
            02 Aragón;2022;Educación;Mujeres;4.23;76.2;72.33;36.3;12.5
            03 Asturias, Principado de;2022;Educación;Mujeres;13.74;78.1;77.20;31.4;12.0
            04 Balears, Illes;2022;Educación;Mujeres;0.86;75.3;83.42;43.3;9.7
            05 Canarias;2022;Educación;Mujeres;6.07;70.9;61.48;36.5;8.6
            06 Cantabria;2022;Educación;Mujeres;6.79;72.9;67.75;28.1;11.5
            07 Castilla y León;2022;Educación;Mujeres;6.15;77.7;66.68;33.6;12.2
            08 Castilla - La Mancha;2022;Educación;Mujeres;6.12;79.0;71.30;44.0;11.7
            09 Cataluña;2022;Educación;Mujeres;6.30;78.4;74.83;34.9;9.5
            10 Comunitat Valenciana;2022;Educación;Mujeres;3.96;72.8;71.68;37.7;11.0
            11 Extremadura;2022;Educación;Mujeres;21.60;73.6;68.14;41.7;16.9
            12 Galicia;2022;Educación;Mujeres;6.79;80.3;69.39;34.3;8.8
            13 Madrid, Comunidad de;2022;Educación;Mujeres;9.87;70.4;77.00;33.4;10.1
            14 Murcia, Región de;2022;Educación;Mujeres;11.35;73.6;76.92;40.1;14.0
            15 Navarra, Comunidad Foral de;2022;Educación;Mujeres;1.67;75.2;80.46;27.3;12.8
            16 País Vasco;2022;Educación;Mujeres;2.96;68.3;75.27;22.7;10.2
            17 Rioja, La;2022;Educación;Mujeres;5.69;74.1;83.03;35.0;7.9
            18 Ceuta;2022;Educación;Mujeres;22.83;77.7;78.15;43.1;31.3
            19 Melilla;2022;Educación;Mujeres;0.00;71.1;90.92;47.5;26.3
            01 Andalucía;2022;Artes, humanidades y lenguas;Mujeres;21.68;74.7;64.72;40.2;5.4
            02 Aragón;2022;Artes, humanidades y lenguas;Mujeres;5.60;78.6;77.03;34.5;6.5
            03 Asturias, Principado de;2022;Artes, humanidades y lenguas;Mujeres;17.11;74.8;47.02;31.0;5.8
            04 Balears, Illes;2022;Artes, humanidades y lenguas;Mujeres;9.03;71.2;69.34;41.1;7.6
            05 Canarias;2022;Artes, humanidades y lenguas;Mujeres;15.59;73.6;71.24;42.4;6.1
            06 Cantabria;2022;Artes, humanidades y lenguas;Mujeres;22.32;73.5;70.04;31.9;4.9
            07 Castilla y León;2022;Artes, humanidades y lenguas;Mujeres;14.62;79.2;59.49;35.9;6.7
            08 Castilla - La Mancha;2022;Artes, humanidades y lenguas;Mujeres;11.19;79.7;67.16;42.2;5.5
            09 Cataluña;2022;Artes, humanidades y lenguas;Mujeres;5.28;77.9;64.39;35.7;7.9
            10 Comunitat Valenciana;2022;Artes, humanidades y lenguas;Mujeres;11.13;72.1;60.48;38.3;5.3
            11 Extremadura;2022;Artes, humanidades y lenguas;Mujeres;12.61;76.3;62.36;39.1;5.2
            12 Galicia;2022;Artes, humanidades y lenguas;Mujeres;17.15;80.6;64.22;36.9;5.3
            13 Madrid, Comunidad de;2022;Artes, humanidades y lenguas;Mujeres;12.03;69.7;65.90;33.9;6.6
            14 Murcia, Región de;2022;Artes, humanidades y lenguas;Mujeres;11.49;74.1;59.77;40.9;5.7
            15 Navarra, Comunidad Foral de;2022;Artes, humanidades y lenguas;Mujeres;13.05;73.3;62.08;25.8;6.5
            16 País Vasco;2022;Artes, humanidades y lenguas;Mujeres;7.73;73.1;69.27;26.0;5.7
            17 Rioja, La;2022;Artes, humanidades y lenguas;Mujeres;11.19;78.0;85.19;33.7;5.2
            18 Ceuta;2022;Artes, humanidades y lenguas;Mujeres;..;79.3;..;40.4;8.0
            19 Melilla;2022;Artes, humanidades y lenguas;Mujeres;0.00;63.7;100.00;20.8;8.1
            01 Andalucía;2022;Ciencias sociales, periodismo y documentación;Mujeres;18.76;73.9;71.18;43.3;3.2
            02 Aragón;2022;Ciencias sociales, periodismo y documentación;Mujeres;2.68;76.4;88.24;37.3;5.0
            03 Asturias, Principado de;2022;Ciencias sociales, periodismo y documentación;Mujeres;4.09;79.0;78.75;31.4;3.6
            04 Balears, Illes;2022;Ciencias sociales, periodismo y documentación;Mujeres;6.74;77.2;73.34;48.2;3.0
            05 Canarias;2022;Ciencias sociales, periodismo y documentación;Mujeres;14.77;73.4;73.62;45.8;2.0
            06 Cantabria;2022;Ciencias sociales, periodismo y documentación;Mujeres;6.56;75.6;78.84;35.9;3.0
            07 Castilla y León;2022;Ciencias sociales, periodismo y documentación;Mujeres;9.81;80.0;74.36;37.1;4.0
            08 Castilla - La Mancha;2022;Ciencias sociales, periodismo y documentación;Mujeres;0.00;81.2;76.06;42.9;3.8
            09 Cataluña;2022;Ciencias sociales, periodismo y documentación;Mujeres;9.82;76.8;89.39;36.0;5.8
            10 Comunitat Valenciana;2022;Ciencias sociales, periodismo y documentación;Mujeres;4.32;73.1;81.11;39.5;4.6
            11 Extremadura;2022;Ciencias sociales, periodismo y documentación;Mujeres;3.61;75.8;95.33;40.9;3.5
            12 Galicia;2022;Ciencias sociales, periodismo y documentación;Mujeres;13.28;82.5;82.12;39.5;4.8
            13 Madrid, Comunidad de;2022;Ciencias sociales, periodismo y documentación;Mujeres;8.91;74.1;77.85;37.1;5.0
            14 Murcia, Región de;2022;Ciencias sociales, periodismo y documentación;Mujeres;0.00;74.6;78.95;43.5;2.9
            15 Navarra, Comunidad Foral de;2022;Ciencias sociales, periodismo y documentación;Mujeres;3.71;76.2;86.92;31.6;6.1
            16 País Vasco;2022;Ciencias sociales, periodismo y documentación;Mujeres;2.45;74.4;81.29;28.2;5.6
            17 Rioja, La;2022;Ciencias sociales, periodismo y documentación;Mujeres;0.00;74.6;77.54;42.2;3.5
            18 Ceuta;2022;Ciencias sociales, periodismo y documentación;Mujeres;0.00;74.9;100.00;36.7;8.2
            19 Melilla;2022;Ciencias sociales, periodismo y documentación;Mujeres;0.00;62.9;100.00;40.3;3.8
            01 Andalucía;2022; Negocios, administración y derecho;Mujeres;19.34;73.0;75.21;44.1;24.8
            02 Aragón;2022; Negocios, administración y derecho;Mujeres;7.32;80.1;76.70;36.4;20.6
            03 Asturias, Principado de;2022; Negocios, administración y derecho;Mujeres;10.65;76.6;63.37;34.1;27.1
            04 Balears, Illes;2022; Negocios, administración y derecho;Mujeres;14.55;80.2;82.22;50.1;23.5
            05 Canarias;2022; Negocios, administración y derecho;Mujeres;12.61;74.9;79.47;43.7;23.9
            06 Cantabria;2022; Negocios, administración y derecho;Mujeres;8.64;72.5;74.74;32.9;21.1
            07 Castilla y León;2022; Negocios, administración y derecho;Mujeres;10.13;80.9;73.35;37.8;24.4
            08 Castilla - La Mancha;2022; Negocios, administración y derecho;Mujeres;16.83;82.3;76.94;46.0;23.5
            09 Cataluña;2022; Negocios, administración y derecho;Mujeres;7.89;78.1;82.56;38.3;23.9
            10 Comunitat Valenciana;2022; Negocios, administración y derecho;Mujeres;8.97;74.9;70.23;42.1;25.5
            11 Extremadura;2022; Negocios, administración y derecho;Mujeres;18.21;78.6;81.13;48.3;25.7
            12 Galicia;2022; Negocios, administración y derecho;Mujeres;9.87;83.0;81.12;40.2;26.7
            13 Madrid, Comunidad de;2022; Negocios, administración y derecho;Mujeres;10.59;75.2;82.01;36.7;21.8
            14 Murcia, Región de;2022; Negocios, administración y derecho;Mujeres;11.72;77.7;82.47;42.6;23.4
            15 Navarra, Comunidad Foral de;2022; Negocios, administración y derecho;Mujeres;4.59;79.7;72.16;28.9;24.6
            16 País Vasco;2022; Negocios, administración y derecho;Mujeres;6.35;72.8;73.54;28.7;29.1
            17 Rioja, La;2022; Negocios, administración y derecho;Mujeres;2.96;83.9;74.63;41.6;25.3
            18 Ceuta;2022; Negocios, administración y derecho;Mujeres;39.97;67.8;64.58;47.7;13.0
            19 Melilla;2022; Negocios, administración y derecho;Mujeres;12.51;78.6;93.46;39.0;12.2
            01 Andalucía;2022;Ciencias naturales, químicas, físicas y matemáticas;Mujeres;12.81;72.8;65.43;42.7;3.4
            02 Aragón;2022;Ciencias naturales, químicas, físicas y matemáticas;Mujeres;0.00;78.1;73.26;37.1;2.8
            03 Asturias, Principado de;2022;Ciencias naturales, químicas, físicas y matemáticas;Mujeres;19.45;81.1;67.09;34.7;2.3
            04 Balears, Illes;2022;Ciencias naturales, químicas, físicas y matemáticas;Mujeres;0.00;77.0;85.38;47.7;2.6
            05 Canarias;2022;Ciencias naturales, químicas, físicas y matemáticas;Mujeres;27.63;78.4;79.06;49.5;2.5
            06 Cantabria;2022;Ciencias naturales, químicas, físicas y matemáticas;Mujeres;0.00;78.7;94.05;29.7;5.6
            07 Castilla y León;2022;Ciencias naturales, químicas, físicas y matemáticas;Mujeres;2.83;82.9;81.06;37.8;4.2
            08 Castilla - La Mancha;2022;Ciencias naturales, químicas, físicas y matemáticas;Mujeres;12.27;79.6;79.11;46.0;3.9
            09 Cataluña;2022;Ciencias naturales, químicas, físicas y matemáticas;Mujeres;3.34;79.4;88.87;40.0;4.6
            10 Comunitat Valenciana;2022;Ciencias naturales, químicas, físicas y matemáticas;Mujeres;4.58;73.9;72.22;42.3;3.2
            11 Extremadura;2022;Ciencias naturales, químicas, físicas y matemáticas;Mujeres;19.80;78.9;93.94;44.6;2.7
            12 Galicia;2022;Ciencias naturales, químicas, físicas y matemáticas;Mujeres;7.18;82.1;78.33;40.5;3.8
            13 Madrid, Comunidad de;2022;Ciencias naturales, químicas, físicas y matemáticas;Mujeres;7.65;73.9;81.56;36.8;5.6
            14 Murcia, Región de;2022;Ciencias naturales, químicas, físicas y matemáticas;Mujeres;13.01;77.1;82.52;46.5;3.9
            15 Navarra, Comunidad Foral de;2022;Ciencias naturales, químicas, físicas y matemáticas;Mujeres;7.74;73.3;93.97;29.8;5.1
            16 País Vasco;2022;Ciencias naturales, químicas, físicas y matemáticas;Mujeres;3.04;75.2;70.91;27.1;2.4
            17 Rioja, La;2022;Ciencias naturales, químicas, físicas y matemáticas;Mujeres;16.81;80.8;85.95;36.7;4.4
            18 Ceuta;2022;Ciencias naturales, químicas, físicas y matemáticas;Mujeres;11.69;73.6;100.00;47.1;..
            19 Melilla;2022;Tecnologías de la información y las comunicaciones (TIC);Mujeres;0.00;67.1;100.00;35.3;2.8
            01 Andalucía;2022;Tecnologías de la información y las comunicaciones (TIC);Mujeres;10.72;74.4;82.51;44.3;1.0
            02 Aragón;2022;Tecnologías de la información y las comunicaciones (TIC);Mujeres;0.00;79.5;90.03;39.6;2.2
            03 Asturias, Principado de;2022;Tecnologías de la información y las comunicaciones (TIC);Mujeres;43.59;80.5;79.26;36.3;2.8
            04 Balears, Illes;2022;Tecnologías de la información y las comunicaciones (TIC);Mujeres;0.00;81.6;74.28;50.2;1.9
            05 Canarias;2022;Tecnologías de la información y las comunicaciones (TIC);Mujeres;0.00;77.1;91.76;46.7;1.4
            06 Cantabria;2022;Tecnologías de la información y las comunicaciones (TIC);Mujeres;14.08;80.1;72.89;32.5;2.4
            07 Castilla y León;2022;Tecnologías de la información y las comunicaciones (TIC);Mujeres;7.29;79.8;80.85;39.5;1.9
            08 Castilla - La Mancha;2022;Tecnologías de la información y las comunicaciones (TIC);Mujeres;6.61;79.5;76.42;43.8;2.9
            09 Cataluña;2022;Tecnologías de la información y las comunicaciones (TIC);Mujeres;0.00;79.2;91.76;38.4;2.6
            10 Comunitat Valenciana;2022;Tecnologías de la información y las comunicaciones (TIC);Mujeres;12.26;77.2;100.00;42.1;1.9
            11 Extremadura;2022;Tecnologías de la información y las comunicaciones (TIC);Mujeres;41.23;79.3;100.00;44.9;0.9
            12 Galicia;2022;Tecnologías de la información y las comunicaciones (TIC);Mujeres;0.00;82.4;85.99;41.5;1.6
            13 Madrid, Comunidad de;2022;Tecnologías de la información y las comunicaciones (TIC);Mujeres;2.43;77.5;84.42;35.1;3.1
            14 Murcia, Región de;2022;Tecnologías de la información y las comunicaciones (TIC);Mujeres;0.00;78.3;69.79;43.4;1.7
            15 Navarra, Comunidad Foral de;2022;Tecnologías de la información y las comunicaciones (TIC);Mujeres;7.83;79.5;85.95;31.5;1.1
            16 País Vasco;2022;Tecnologías de la información y las comunicaciones (TIC);Mujeres;0.00;77.7;74.90;30.7;3.3
            17 Rioja, La;2022;Tecnologías de la información y las comunicaciones (TIC);Mujeres;0.00;76.7;100.00;38.4;1.6
            18 Ceuta;2022;Tecnologías de la información y las comunicaciones (TIC);Mujeres;0.00;79.6;100.00;33.1;3.3
            19 Melilla;2022;Tecnologías de la información y las comunicaciones (TIC);Mujeres;0.00;75.1;100.00;35.1;..
            01 Andalucía;2022;"Mecánica, electrónica y otra formación técnica; industria y construcción";Mujeres;6.82;3.2;77.08;9.1;2.1
            02 Aragón;2022;"Mecánica, electrónica y otra formación técnica; industria y construcción";Mujeres;9.27;2.8;78.98;6.9;4.3
            03 Asturias, Principado de;2022;"Mecánica, electrónica y otra formación técnica; industria y construcción";Mujeres;17.63;2.8;93.09;11.5;3.6
            04 Balears, Illes;2022;"Mecánica, electrónica y otra formación técnica; industria y construcción";Mujeres;32.59;1.8;96.58;7.0;4.4
            05 Canarias;2022;"Mecánica, electrónica y otra formación técnica; industria y construcción";Mujeres;7.56;3.9;78.13;5.7;3.4
            06 Cantabria;2022;"Mecánica, electrónica y otra formación técnica; industria y construcción";Mujeres;4.76;4.4;85.44;9.6;1.6
            07 Castilla y León;2022;"Mecánica, electrónica y otra formación técnica; industria y construcción";Mujeres;6.39;4.8;74.45;9.7;3.7
            08 Castilla - La Mancha;2022;"Mecánica, electrónica y otra formación técnica; industria y construcción";Mujeres;0.00;3.7;79.11;9.5;2.6
            09 Cataluña;2022;"Mecánica, electrónica y otra formación técnica; industria y construcción";Mujeres;0.00;3.5;67.20;8.4;4.5
            10 Comunitat Valenciana;2022;"Mecánica, electrónica y otra formación técnica; industria y construcción";Mujeres;8.58;3.3;85.34;7.9;3.4
            11 Extremadura;2022;"Mecánica, electrónica y otra formación técnica; industria y construcción";Mujeres;12.34;3.8;84.45;8.6;2.1
            12 Galicia;2022;"Mecánica, electrónica y otra formación técnica; industria y construcción";Mujeres;13.63;3.5;78.10;8.7;3.2
            13 Madrid, Comunidad de;2022;"Mecánica, electrónica y otra formación técnica; industria y construcción";Mujeres;11.87;3.3;82.87;7.7;3.8
            14 Murcia, Región de;2022;"Mecánica, electrónica y otra formación técnica; industria y construcción";Mujeres;0.00;3.3;55.34;10.8;2.1
            15 Navarra, Comunidad Foral de;2022;"Mecánica, electrónica y otra formación técnica; industria y construcción";Mujeres;16.50;3.3;71.99;12.3;3.7
            16 País Vasco;2022;"Mecánica, electrónica y otra formación técnica; industria y construcción";Mujeres;5.14;3.2;78.82;9.1;4.2
            17 Rioja, La;2022;"Mecánica, electrónica y otra formación técnica; industria y construcción";Mujeres;7.53;2.4;80.63;10.1;2.4
            18 Ceuta;2022;"Mecánica, electrónica y otra formación técnica; industria y construcción";Mujeres;..;4.6;..;17.5;2.7
            19 Melilla;2022;"Mecánica, electrónica y otra formación técnica; industria y construcción";Mujeres;..;1.3;0.00;12.0;3.4
            01 Andalucía;2022;Agricultura, ganadería, pesca, silvicultura y veterinaria;Mujeres;28.29;3.8;85.01;9.1;0.5
            02 Aragón;2022;Agricultura, ganadería, pesca, silvicultura y veterinaria;Mujeres;1.79;4.8;69.75;9.6;1.0
